Language,Gloss,LexicalClass,Handshape,SelectedFingers.2.0,Flexion.2.0,Spread.2.0,ThumbPosition.2.0,sign type,Movement,Location,MinorLocation.2.0,SecondMinorLocation.2.0,Contact.2.0,NonDominantHandshape,UlnarRotation.2.0,Handshape change,SignTypeM2.2.0,MovementM2.2.0,RepeatedMovementM2.2.0,MajorLocationM2.2.0,MinorLocationM2.2.0,SecondMinorLocationM2.2.0,ContactM2.2.0,NonDominantHandshapeM2.2.0,UlnarRotationM2.2.0,SignType.2.0Frequency,MajorLocation.2.0Frequency,MinorLocation.2.0Frequency,SecondMinorLocation.2.0Frequency,Movement.2.0Frequency
ASL,grenade,n,1,imrp,FullyClosed,NA,Closed,AsymmetricalSameHandshape,Straight,Hand,FingerRadial,HandAway,1,1,0,1,AsymmetricalSameHandshape,Straight,NA,Neutral,Neutral,Neutral,0,s,0,0.059,0.25,0.035,0.155,0.457
ASL,earthquake,n,13,m,Flat,NA,Open,AsymmetricalDifferentHandshape,None,Hand,PalmBack,NA,1,1,1,1,SymmetricalOrAlternating,Straight,NA,Neutral,Neutral,Neutral,0,s,0,0.175,0.25,0.024,0,0.153
ASL,loud,adv,7,i,FullyOpen,NA,Closed,SymmetricalOrAlternating,None,Head,Other,NA,1,7,0,1,SymmetricalOrAlternating,Straight,NA,Neutral,Neutral,Neutral,0,s,0,0.345,0.266,0.025,0,0.153
ASL,linguistics,n,8,i,FullyOpen,NA,Open,SymmetricalOrAlternating,Straight,Neutral,Neutral,Neutral,1,8,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.345,0.363,0.363,0.426,0.457
ASL,workshop,n,38,p,Curved,NA,Open,SymmetricalOrAlternating,Curved,Neutral,Neutral,Neutral,1,38,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.345,0.363,0.363,0.426,0.233
ASL,silver,n,1,imrp,FullyClosed,NA,Closed,OneHanded,None,Head,Other,NA,1,NA,0,1,OneHanded,None,NA,Neutral,Neutral,NA,0,NA,1,0.392,0.266,0.025,0,0.153
ASL,shakespeare,n,1,imrp,FullyClosed,NA,Closed,OneHanded,Straight,Neutral,Neutral,Neutral,0,NA,0,1,OneHanded,Straight,NA,Neutral,Neutral,Neutral,0,NA,0,0.392,0.363,0.363,0.426,0.457
ASL,homework,n,2,imrp,Curved,0,Open,OneHanded,Curved,Head,Chin,CheekNose,1,NA,0,1,AsymmetricalSameHandshape,Straight,NA,Hand,PalmBack,NA,1,s,0,0.392,0.266,0.037,0.008,0.233
ASL,blow_mind,v,7,i,FullyOpen,NA,Closed,OneHanded,None,Head,Forehead,NA,1,NA,0,1,SymmetricalOrAlternating,Straight,NA,Head,HeadAway,HeadAway,1,s,0,0.392,0.266,0.039,0,0.153
ASL,brainstorm,v,7,i,FullyOpen,NA,Closed,OneHanded,None,Head,Forehead,NA,1,NA,0,1,SymmetricalOrAlternating,Straight,NA,Neutral,Neutral,Neutral,0,s,0,0.392,0.266,0.039,0,0.153
ASL,head_grind,v,7,i,FullyOpen,NA,Closed,OneHanded,None,Head,Forehead,NA,1,NA,0,1,AsymmetricalDifferentHandshape,Circular,NA,Hand,Palm,Palm,1,B,0,0.392,0.266,0.039,0,0.153
ASL,think_expand,v,7,i,FullyOpen,NA,Closed,OneHanded,None,Head,Forehead,NA,1,NA,0,1,SymmetricalOrAlternating,Straight,NA,Head,HeadAway,HeadAway,0,s,0,0.392,0.266,0.039,0,0.153
ASL,true_business,adj,7,i,FullyOpen,NA,Closed,OneHanded,None,Head,Mouth,HeadAway,1,NA,0,1,AsymmetricalSameHandshape,BackAndForth,NA,Hand,FingerRadial,HandAway,1,s,0,0.392,0.266,0.046,0.178,0.153
ASL,high_school,n,19,im,FullyOpen,0,Closed,OneHanded,None,Neutral,Neutral,NA,0,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.392,0.363,0.363,0,0.153
ASL,noose,n,24,i,Curved,NA,Open,OneHanded,None,Body,Neck,NA,1,NA,0,1,OneHanded,Straight,NA,Body,BodyAway,BodyAway,0,NA,0,0.392,0.094,0.006,0,0.153
ASL,bullshit,adj,48,imrp,FullyOpen,0,Closed,OneHanded,Straight,Neutral,Neutral,Neutral,0,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.392,0.363,0.363,0.426,0.457
ASL,office,n,2,imrp,Curved,0,Open,SymmetricalOrAlternating,Straight,Neutral,Neutral,NA,0,2,0,2,SymmetricalOrAlternating,Straight,NA,Neutral,Neutral,NA,0,o,0,0.345,0.363,0.363,0,0.457
