sign_id,Language,Gloss,LexcialClass,sign_category,sign type,non_manual,Handshape,Selected Hand Parts,Location,Movement,Movement old,Handshape change,NonDominantHandshape
LKA_009_e_0005,LKA - Sri Lanka,MINUTE,---,---,---,N,9,I:Tip,---,Straight,"Str,Dir:to(H2),Con",---,1
LKA_014_e_0001,LKA - Sri Lanka,THURSDAY,---,---,---,N,14,---,---,None,---,---,---
LKA_014_e_0002,LKA - Sri Lanka,BONE,---,---,---,N,14,---,---,None,---,---,---
VN1_009_e_0008,"VN1 - Ho Chi Minh City, Vietnam",OCTOBER,n,---,---,N,9,---,---,None,---,---,65
HKG_001_a_0001,HKG - Hong Kong,SUPPORT,v,Monomorphemic,OneHanded,N,1,Hand:Bk,---,BackAndForth,"Str,Rep(2),Uni",---,---
HKG_001_a_0002,HKG - Hong Kong,HIT,v:agr,Monomorphemic,OneHanded,N,1,Hand:Ant,---,Straight,"Str,Dir:to(X)",---,---
HKG_001_a_0003,HKG - Hong Kong,AGAIN,adv,Monomorphemic,OneHanded,N,1,"I,M:Tip",---,Straight,"Str,Dir:to(Z)",28,---
HKG_001_a_0004,HKG - Hong Kong,ALSO,conj,Bimorphemic,OneHanded,N,1,"I,M:Tip",---,Straight,"Str,Dir:to(Z)",28,---
HKG_001_a_0005,HKG - Hong Kong,BLOSSOM,v,Monomorphemic,OneHanded,N,1,Hand:Bk,---,None,---,57,---
HKG_001_a_0006,HKG - Hong Kong,GARDENER,n,Bimorphemic,OneHanded,N,1,Hand:Bk,---,None,---,57,---
HKG_001_a_0007,HKG - Hong Kong,ABANDON,v,Monomorphemic,OneHanded,N,1,"T,I,M,R,P:Tip",---,Straight,"Str,Dir:to(Y)",57,---
HKG_001_a_0008,HKG - Hong Kong,RUBBISH,n,Monomorphemic,OneHanded,N,1,"T,I,M,R,P:Tip",---,BackAndForth,"Str,Rep(2),Uni,Dir:to(Y)",57,---
HKG_001_a_0009,HKG - Hong Kong,KETTLE,n,Monomorphemic,OneHanded,N,1,Hand:Rad,---,Curved,Arc,---,---
HKG_001_a_0010,HKG - Hong Kong,VEGETABLE,n,Monomorphemic,OneHanded,N,1,Hand:Bk,---,Straight,"Str,Dir:fr(Y)",57,---
HKG_001_a_0011,HKG - Hong Kong,DETERMINE,v,Monomorphemic,OneHanded,N,1,Palm,---,Curved,"Arc,Pivot,Hold",---,---
HKG_001_a_0012a,HKG - Hong Kong,AGREE,v,Monomorphemic,OneHanded,N,1,Palm,---,None,---,---,---
HKG_001_a_0012b,HKG - Hong Kong,YES,interj,Monomorphemic,OneHanded,N,1,Palm,---,None,---,---,---
HKG_001_a_0013,HKG - Hong Kong,THROW A DICE,v,Monomorphemic,OneHanded,N,1,Hand:Uln,---,BackAndForth,"Bi,Dir:to(Z)",---,---
HKG_001_a_0014,HKG - Hong Kong,LIGHT BULB,n,Monomorphemic,OneHanded,N,1,"T,I,M,R,P:Tip",Head,None,---,57,---
HKG_001_a_0015,HKG - Hong Kong,FLUORESCENT LIGHT,n,Bimorphemic,OneHanded,N,1,"T,I,M,R,P:Tip",Head,None,---,57,---
HKG_001_a_0016,HKG - Hong Kong,BUS,n,Monomorphemic,OneHanded,N,1,Palm,Head,Other,Uni,---,---
HKG_001_a_0017,HKG - Hong Kong,BUS STOP,n,Bimorphemic,OneHanded,N,1,Palm,Head,BackAndForth,"Str,Rep(2),Uni",---,---
HKG_001_a_0018,HKG - Hong Kong,LOVE (SOMETHING) ARDENTLY,v,Monomorphemic,OneHanded,N,1,Hand:Bk,Nose,None,---,---,---
HKG_001_a_0019,HKG - Hong Kong,CLOSE (FRIENDS),adj,Bimorphemic,OneHanded,N,1,Hand:Bk,Nose,None,---,---,---
HKG_001_a_0021,HKG - Hong Kong,SING,v,Monomorphemic,OneHanded,N,1,Hand:Rad,Mouth,BackAndForth,"Bi,Trace",---,---
